,DTSOLIC,ANO,ESTADO_UF,QTD
0,28/02/2017,2017,AC,42
1,28/02/2017,2017,AL,586
2,28/02/2017,2017,AM,354
3,28/02/2017,2017,AP,15
4,28/02/2017,2017,BA,2396
5,28/02/2017,2017,CE,2265
6,28/02/2017,2017,DF,611
7,28/02/2017,2017,ES,1178
8,28/02/2017,2017,GO,193
9,28/02/2017,2017,MA,748
10,28/02/2017,2017,MG,6223
11,28/02/2017,2017,MS,684
12,28/02/2017,2017,MT,516
13,28/02/2017,2017,PA,224
14,28/02/2017,2017,PB,920
15,28/02/2017,2017,PE,2247
16,28/02/2017,2017,PI,415
17,28/02/2017,2017,PR,3800
18,28/02/2017,2017,RJ,2233
19,28/02/2017,2017,RN,898
20,28/02/2017,2017,RO,11
21,28/02/2017,2017,RR,3
22,28/02/2017,2017,RS,6344
23,28/02/2017,2017,SC,595
24,28/02/2017,2017,SE,225
25,28/02/2017,2017,SP,15776
26,28/02/2017,2017,TO,110
27,28/02/2018,2018,AC,49
28,28/02/2018,2018,AL,592
29,28/02/2018,2018,AM,228
30,28/02/2018,2018,AP,6
31,28/02/2018,2018,BA,2415
32,28/02/2018,2018,CE,2502
33,28/02/2018,2018,DF,458
34,28/02/2018,2018,ES,1418
35,28/02/2018,2018,GO,1022
36,28/02/2018,2018,MA,806
37,28/02/2018,2018,MG,7551
38,28/02/2018,2018,MS,515
39,28/02/2018,2018,MT,562
40,28/02/2018,2018,PA,447
41,28/02/2018,2018,PB,1037
42,28/02/2018,2018,PE,2523
43,28/02/2018,2018,PI,766
44,28/02/2018,2018,PR,4152
45,28/02/2018,2018,RJ,2902
46,28/02/2018,2018,RN,1026
47,28/02/2018,2018,RO,64
48,28/02/2018,2018,RR,3
49,28/02/2018,2018,RS,6744
50,28/02/2018,2018,SC,2815
51,28/02/2018,2018,SE,95
52,28/02/2018,2018,SP,16677
53,28/02/2018,2018,TO,184
54,28/02/2019,2019,AC,81
55,28/02/2019,2019,AL,723
56,28/02/2019,2019,AM,218
57,28/02/2019,2019,AP,3
58,28/02/2019,2019,BA,2541
59,28/02/2019,2019,CE,4186
60,28/02/2019,2019,DF,613
61,28/02/2019,2019,ES,1563
62,28/02/2019,2019,GO,1133
63,28/02/2019,2019,MA,872
64,28/02/2019,2019,MG,7897
65,28/02/2019,2019,MS,559
66,28/02/2019,2019,MT,631
67,28/02/2019,2019,PA,686
68,28/02/2019,2019,PB,1161
69,28/02/2019,2019,PE,2663
70,28/02/2019,2019,PI,820
71,28/02/2019,2019,PR,4423
72,28/02/2019,2019,RJ,3626
73,28/02/2019,2019,RN,987
74,28/02/2019,2019,RO,99
75,28/02/2019,2019,RR,3
76,28/02/2019,2019,RS,6836
77,28/02/2019,2019,SC,2774
78,28/02/2019,2019,SE,274
79,28/02/2019,2019,SP,17033
80,28/02/2019,2019,TO,92
81,29/02/2016,2016,AC,77
82,29/02/2016,2016,AL,532
83,29/02/2016,2016,AM,292
84,29/02/2016,2016,BA,2252
85,29/02/2016,2016,CE,2209
86,29/02/2016,2016,DF,416
87,29/02/2016,2016,ES,1134
88,29/02/2016,2016,GO,837
89,29/02/2016,2016,MA,779
90,29/02/2016,2016,MG,6230
91,29/02/2016,2016,MS,678
92,29/02/2016,2016,MT,532
93,29/02/2016,2016,PA,401
94,29/02/2016,2016,PB,880
95,29/02/2016,2016,PE,2217
96,29/02/2016,2016,PI,566
97,29/02/2016,2016,PR,3604
98,29/02/2016,2016,RJ,2014
99,29/02/2016,2016,RN,893
100,29/02/2016,2016,RO,33
101,29/02/2016,2016,RR,39
102,29/02/2016,2016,RS,6285
103,29/02/2016,2016,SC,2488
104,29/02/2016,2016,SE,272
105,29/02/2016,2016,SP,14743
106,29/02/2016,2016,TO,158
107,29/02/2020,2020,AC,33
108,29/02/2020,2020,AL,724
109,29/02/2020,2020,AM,401
110,29/02/2020,2020,AP,21
111,29/02/2020,2020,BA,2483
112,29/02/2020,2020,CE,3420
113,29/02/2020,2020,DF,502
114,29/02/2020,2020,ES,1563
115,29/02/2020,2020,GO,1155
116,29/02/2020,2020,MA,779
117,29/02/2020,2020,MG,8103
118,29/02/2020,2020,MS,538
119,29/02/2020,2020,MT,464
120,29/02/2020,2020,PA,676
121,29/02/2020,2020,PB,1168
122,29/02/2020,2020,PE,3528
123,29/02/2020,2020,PI,863
124,29/02/2020,2020,PR,4982
125,29/02/2020,2020,RJ,4829
126,29/02/2020,2020,RN,1127
127,29/02/2020,2020,RO,89
128,29/02/2020,2020,RR,20
129,29/02/2020,2020,RS,7361
130,29/02/2020,2020,SC,3058
131,29/02/2020,2020,SE,438
132,29/02/2020,2020,SP,17835
133,29/02/2020,2020,TO,138
134,30/04/2016,2016,AC,48
135,30/04/2016,2016,AL,592
136,30/04/2016,2016,AM,230
137,30/04/2016,2016,AP,12
138,30/04/2016,2016,BA,2339
139,30/04/2016,2016,CE,2241
140,30/04/2016,2016,DF,401
141,30/04/2016,2016,ES,1068
142,30/04/2016,2016,GO,942
143,30/04/2016,2016,MA,508
144,30/04/2016,2016,MG,6847
145,30/04/2016,2016,MS,245
146,30/04/2016,2016,MT,493
147,30/04/2016,2016,PA,456
148,30/04/2016,2016,PB,863
149,30/04/2016,2016,PE,2355
150,30/04/2016,2016,PI,646
151,30/04/2016,2016,PR,3459
152,30/04/2016,2016,RJ,6131
153,30/04/2016,2016,RN,924
154,30/04/2016,2016,RO,230
155,30/04/2016,2016,RR,18
156,30/04/2016,2016,RS,6659
157,30/04/2016,2016,SC,3265
158,30/04/2016,2016,SE,324
159,30/04/2016,2016,SP,15874
160,30/04/2016,2016,TO,99
161,30/04/2017,2017,AC,80
162,30/04/2017,2017,AL,650
163,30/04/2017,2017,AM,346
164,30/04/2017,2017,AP,3
165,30/04/2017,2017,BA,2575
166,30/04/2017,2017,CE,2404
167,30/04/2017,2017,DF,281
168,30/04/2017,2017,ES,1326
169,30/04/2017,2017,GO,6
170,30/04/2017,2017,MA,590
171,30/04/2017,2017,MG,7311
172,30/04/2017,2017,MS,496
173,30/04/2017,2017,MT,540
174,30/04/2017,2017,PB,919
175,30/04/2017,2017,PE,2462
176,30/04/2017,2017,PI,675
177,30/04/2017,2017,PR,3864
178,30/04/2017,2017,RJ,8598
179,30/04/2017,2017,RN,876
180,30/04/2017,2017,RO,289
181,30/04/2017,2017,RR,31
182,30/04/2017,2017,RS,6676
183,30/04/2017,2017,SC,159
184,30/04/2017,2017,SE,95
185,30/04/2017,2017,SP,15347
186,30/04/2017,2017,TO,122
187,30/04/2018,2018,AC,58
188,30/04/2018,2018,AL,799
189,30/04/2018,2018,AM,308
190,30/04/2018,2018,AP,15
191,30/04/2018,2018,BA,3033
192,30/04/2018,2018,CE,2586
193,30/04/2018,2018,DF,603
194,30/04/2018,2018,ES,1423
195,30/04/2018,2018,GO,1017
196,30/04/2018,2018,MA,640
197,30/04/2018,2018,MG,7647
198,30/04/2018,2018,MS,511
199,30/04/2018,2018,MT,604
200,30/04/2018,2018,PA,718
201,30/04/2018,2018,PB,1059
202,30/04/2018,2018,PE,2788
203,30/04/2018,2018,PI,804
204,30/04/2018,2018,PR,4382
205,30/04/2018,2018,RJ,8145
206,30/04/2018,2018,RN,985
207,30/04/2018,2018,RO,849
208,30/04/2018,2018,RR,3
209,30/04/2018,2018,RS,7586
210,30/04/2018,2018,SC,3156
211,30/04/2018,2018,SE,134
212,30/04/2018,2018,SP,17205
213,30/04/2018,2018,TO,127
214,30/04/2019,2019,AC,66
215,30/04/2019,2019,AL,854
216,30/04/2019,2019,AM,548
217,30/04/2019,2019,AP,6
218,30/04/2019,2019,BA,3328
219,30/04/2019,2019,CE,1911
220,30/04/2019,2019,DF,713
221,30/04/2019,2019,ES,1385
222,30/04/2019,2019,GO,1090
223,30/04/2019,2019,MA,801
224,30/04/2019,2019,MG,7945
